********************************************************************************
Field Output Report, written Tue Nov 29 15:46:59 2016

Source 1
---------

   ODB: C:/Software/SIMULIA/Temp/importrolling/importrolling_roll_flat.odb
   Step: Step-4
   Frame: Increment     13584: Step Time =   2.5001E-02

Loc 1 : Nodal values at CSHEARF  STREAD/SROAD from source 1

Output sorted by column "CSHEARF  STREAD/SROAD.FORCE1".

Field Output reported at nodes for part: PART-1-1

            Node  CSHEARF  STREAD/SROAD.Magnitude  CSHEARF  STREAD/SROAD.FORCE1  CSHEARF  STREAD/SROAD.FORCE2  CSHEARF  STREAD/SROAD.FORCE3
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1
           12035              0.              0.              0.              0.
           12040              0.              0.              0.              0.
           12045              0.              0.              0.              0.
           12050              0.              0.              0.              0.
           12055              0.              0.              0.              0.
           12527              0.              0.              0.              0.
           12531              0.              0.              0.              0.
           12535              0.              0.              0.              0.
           12540              0.              0.              0.              0.
           12545              0.              0.              0.              0.
           12550              0.              0.              0.              0.
           12555              0.              0.              0.              0.
           13027              0.              0.              0.              0.
           13031              0.              0.              0.              0.
           13035              0.              0.              0.              0.
           13040              0.              0.              0.              0.
           13045         6.82954              0.        -6.82954              0.
          129545              0.              0.              0.              0.
          129540              0.              0.              0.              0.
           13527              0.              0.              0.              0.
           13531              0.              0.              0.              0.
           13535              0.              0.              0.              0.
             555              0.              0.              0.              0.
          129535              0.              0.              0.              0.
          129531              0.              0.              0.              0.
          129527              0.              0.              0.              0.
           14027              0.              0.              0.              0.
           14031              0.              0.              0.              0.
           14035              0.              0.              0.              0.
             550              0.              0.              0.              0.
           14045         109.072              0.        -109.072              0.
             545              0.              0.              0.              0.
             540              0.              0.              0.              0.
           14527              0.              0.              0.              0.
           14531              0.              0.              0.              0.
           14535              0.              0.              0.              0.
             535              0.              0.              0.              0.
             531              0.              0.              0.              0.
             527              0.              0.              0.              0.
              55              0.              0.              0.              0.
           15027              0.              0.              0.              0.
           15031              0.              0.              0.              0.
           15035              0.              0.              0.              0.
           15040              0.              0.              0.              0.
           15045              0.              0.              0.              0.
          129050              0.              0.              0.              0.
          129045              0.              0.              0.              0.
           15527              0.              0.              0.              0.
           15531              0.              0.              0.              0.
           15535              0.              0.              0.              0.
           15540              0.              0.              0.              0.
           15545              0.              0.              0.              0.
           15550              0.              0.              0.              0.
           15555              0.              0.              0.              0.
           16027              0.              0.              0.              0.
           16031              0.              0.              0.              0.
           16035              0.              0.              0.              0.
           16040              0.              0.              0.              0.
           16045              0.              0.              0.              0.
           16050              0.              0.              0.              0.
           16055              0.              0.              0.              0.
           16527              0.              0.              0.              0.
           16531              0.              0.              0.              0.
           16535              0.              0.              0.              0.
           16540              0.              0.              0.              0.
           16545              0.              0.              0.              0.
           16550              0.              0.              0.              0.
           16555              0.              0.              0.              0.
           17027              0.              0.              0.              0.
           17031              0.              0.              0.              0.
           17035              0.              0.              0.              0.
           17040              0.              0.              0.              0.
           17045              0.              0.              0.              0.
           17050              0.              0.              0.              0.
           17055              0.              0.              0.              0.
           17527              0.              0.              0.              0.
           17531              0.              0.              0.              0.
           17535              0.              0.              0.              0.
           17540              0.              0.              0.              0.
           17545              0.              0.              0.              0.
           17550              0.              0.              0.              0.
           17555              0.              0.              0.              0.
           18027              0.              0.              0.              0.
           18031              0.              0.              0.              0.
           18035              0.              0.              0.              0.
           18040              0.              0.              0.              0.
           18045              0.              0.              0.              0.
           18050              0.              0.              0.              0.
           18055              0.              0.              0.              0.
           18527              0.              0.              0.              0.
           18531              0.              0.              0.              0.
           18535              0.              0.              0.              0.
           18540              0.              0.              0.              0.
           18545              0.              0.              0.              0.
           18550              0.              0.              0.              0.
           18555              0.              0.              0.              0.
           19027              0.              0.              0.              0.
           19031              0.              0.              0.              0.
           19035              0.              0.              0.              0.
           19040              0.              0.              0.              0.
           19045              0.              0.              0.              0.
           19050              0.              0.              0.              0.
           19055              0.              0.              0.              0.
           19527              0.              0.              0.              0.
           19531              0.              0.              0.              0.
           19535              0.              0.              0.              0.
           19540              0.              0.              0.              0.
           19545              0.              0.              0.              0.
           19550              0.              0.              0.              0.
           19555              0.              0.              0.              0.
           20027              0.              0.              0.              0.
           20031              0.              0.              0.              0.
           20035              0.              0.              0.              0.
           20040              0.              0.              0.              0.
           20045              0.              0.              0.              0.
           20050              0.              0.              0.              0.
           20055              0.              0.              0.              0.
           20527              0.              0.              0.              0.
           20531              0.              0.              0.              0.
           20535              0.              0.              0.              0.
           20540              0.              0.              0.              0.
           20545              0.              0.              0.              0.
           20550              0.              0.              0.              0.
           20555              0.              0.              0.              0.
           21027              0.              0.              0.              0.
           21031              0.              0.              0.              0.
           21035              0.              0.              0.              0.
           21040              0.              0.              0.              0.
           21045              0.              0.              0.              0.
           21050              0.              0.              0.              0.
           21055              0.              0.              0.              0.
           21527              0.              0.              0.              0.
           21531              0.              0.              0.              0.
           21535              0.              0.              0.              0.
           21540              0.              0.              0.              0.
           21545              0.              0.              0.              0.
           21550              0.              0.              0.              0.
           21555              0.              0.              0.              0.
           22027              0.              0.              0.              0.
              50              0.              0.              0.              0.
           22035              0.              0.              0.              0.
           22040              0.              0.              0.              0.
           22045              0.              0.              0.              0.
           22050              0.              0.              0.              0.
           22055              0.              0.              0.              0.
           22527              0.              0.              0.              0.
           22531              0.              0.              0.              0.
           22535              0.              0.              0.              0.
           22540              0.              0.              0.              0.
           22545              0.              0.              0.              0.
           22550              0.              0.              0.              0.
           22555              0.              0.              0.              0.
           23027              0.              0.              0.              0.
           23031              0.              0.              0.              0.
           23035              0.              0.              0.              0.
           23040              0.              0.              0.              0.
           23045              0.              0.              0.              0.
           23050              0.              0.              0.              0.
           23055              0.              0.              0.              0.
           23527              0.              0.              0.              0.
           23531              0.              0.              0.              0.
           23535              0.              0.              0.              0.
           23540              0.              0.              0.              0.
           23545              0.              0.              0.              0.
           23550              0.              0.              0.              0.
           23555              0.              0.              0.              0.
           24027              0.              0.              0.              0.
           24031              0.              0.              0.              0.
           24035              0.              0.              0.              0.
           24040              0.              0.              0.              0.
           24045              0.              0.              0.              0.
           24050              0.              0.              0.              0.
           24055              0.              0.              0.              0.
           24527              0.              0.              0.              0.
           24531              0.              0.              0.              0.
           24535              0.              0.              0.              0.
           24540              0.              0.              0.              0.
           24545              0.              0.              0.              0.
